代號,名稱
1101,台泥
1102,亞泥
1104,環泥
1108,幸福
1210,大成
1216,統一
1229,聯華
1301,台塑
1303,南亞
1304,台聚
1305,華夏
1312,國喬
1313,聯成
1314,中石化
1316,上曜
1319,東陽
1326,台化
1402,遠東新
1409,新纖
1434,福懋
1442,名軒
1453,大將
1455,集盛
1467,南緯
1477,聚陽
1503,士電
1504,東元
1513,中興電
1514,亞力
1515,力山
1519,華城
1522,堤維西
1524,耿鼎
1529,樂事綠能
1532,勤美
1560,中砂
1582,信錦
1587,吉茂
1603,華電
1605,華新
1608,華榮
1609,大亞
1611,中電
1612,宏泰
1616,億泰
1617,榮星
1618,合機
1701,中化
1711,永光
1714,和桐
1717,長興
1718,中纖
1722,台肥
1736,喬山
1789,神隆
1795,美時
1802,台玻
1805,寶徠
1808,潤隆
1809,中釉
1810,和成
1905,華紙
1907,永豐餘
1909,榮成
2002,中鋼
2006,東和鋼鐵
2007,燁興
2009,第一銅
2010,春源
2014,中鴻
2020,美亞
2022,聚亨
2023,燁輝
2025,千興
2027,大成鋼
2031,新光鋼
2049,上銀
2059,川湖
2101,南港
2103,台橡
2104,國際中橡
2105,正新
2106,建大
2109,華豐
2201,裕隆
2204,中華
2206,三陽工業
2208,台船
2211,長榮鋼
2236,百達-KY
2241,艾姆勒
2301,光寶科
2303,聯電
2308,台達電
2312,金寶
2313,華通
2316,楠梓電
2317,鴻海
2323,中環
2324,仁寶
2327,國巨
2328,廣宇
2329,華泰
2330,台積電
2331,精英
2332,友訊
2337,旺宏
2340,台亞
2344,華邦電
2345,智邦
2347,聯強
2348,海悅
2352,佳世達
2353,宏碁
2354,鴻準
2355,敬鵬
2356,英業達
2357,華碩
2359,所羅門
2360,致茂
2362,藍天
2363,矽統
2365,昆盈
2367,燿華
2368,金像電
2369,菱生
2371,大同
2374,佳能
2376,技嘉
2377,微星
2379,瑞昱
2382,廣達
2383,台光電
2385,群光
2388,威盛
2392,正崴
2393,億光
2401,凌陽
2402,毅嘉
2404,漢唐
2405,輔信
2406,國碩
2408,南亞科
2409,友達
2412,中華電
2417,圓剛
2421,建準
2427,三商電
2436,偉詮電
2439,美律
2440,太空梭
2442,新美齊
2449,京元電子
2454,聯發科
2455,全新
2457,飛宏
2458,義隆
2464,盟立
2465,麗臺
2467,志聖
2472,立隆電
2474,可成
2476,鉅祥
2481,強茂
2485,兆赫
2486,一詮
2489,瑞軒
2492,華新科
2498,宏達電
2501,國建
2504,國產
2506,太設
2509,全坤建
2511,太子
2514,龍邦
2515,中工
2516,新建
2520,冠德
2527,宏璟
2528,皇普
2530,華建
2534,宏盛
2537,聯上發
2539,櫻花建
2540,愛山林
2542,興富發
2543,皇昌
2545,皇翔
2547,日勝生
2548,華固
2601,益航
2603,長榮
2605,新興
2606,裕民
2607,榮運
2609,陽明
2610,華航
2611,志信
2615,萬海
2618,長榮航
2630,亞航
2633,台灣高鐵
2634,漢翔
2636,台驊投控
2637,慧洋-KY
2645,長榮航太
2704,國賓
2801,彰銀
2809,京城銀
2812,台中銀
2832,台產
2834,臺企銀
2836,高雄銀
2838,聯邦銀
2845,遠東銀
2850,新產
2851,中再保
2855,統一證
2867,三商壽
2880,華南金
2881,富邦金
2882,國泰金
2883,開發金
2883B,開發金乙特
2884,玉山金
2885,元大金
2886,兆豐金
2887,台新金
2888,新光金
2889,國票金
2890,永豐金
2891,中信金
2892,第一金
2897,王道銀行
2903,遠百
2913,農林
2915,潤泰全
3005,神基
3006,晶豪科
3010,華立
3013,晟銘電
3015,全漢
3016,嘉晶
3017,奇鋐
3022,威強電
3024,憶聲
3025,星通
3027,盛達
3030,德律
3032,偉訓
3033,威健
3034,聯詠
3035,智原
3036,文曄
3037,欣興
3041,揚智
3042,晶技
3044,健鼎
3045,台灣大
3049,精金
3050,鈺德
3051,力特
3052,夆典
3055,蔚華科
3056,富華新
3058,立德
3059,華晶科
3060,銘異
3062,建漢
3189,景碩
3231,緯創
3305,昇貿
3312,弘憶股
3338,泰碩
3346,麗清
3356,奇偶
3376,新日興
3380,明泰
3406,玉晶光
3413,京鼎
3437,榮創
3443,創意
3450,聯鈞
3481,群創
3533,嘉澤
3545,敦泰
3563,牧德
3576,聯合再生
3583,辛耘
3617,碩天
3622,洋華
3645,達邁
3653,健策
3661,世芯-KY
3665,貿聯-KY
3673,TPK-KY
3702,大聯大
3703,欣陸
3704,合勤控
3706,神達
3708,上緯投控
3711,日月光投控
3712,永崴投控
3714,富采
3715,定穎投控
4142,國光生
4306,炎洲
4526,東台
4532,瑞智
4588,玖鼎電力
4720,德淵
4746,台耀
4763,材料-KY
4770,上品
4904,遠傳
4906,正文
4912,聯德控股-KY
4915,致伸
4919,新唐
4938,和碩
4958,臻鼎-KY
4960,誠美材
4961,天鈺
4967,十銓
4968,立積
5222,全訊
5225,東科-KY
5234,達興材料
5258,虹堡
5284,jpp-KY
5388,中磊
5434,崇越
5469,瀚宇博
5515,建國
5519,隆大
5521,工信
5522,遠雄
5531,鄉林
5534,長虹
5608,四維航
5871,中租-KY
5876,上海商銀
5880,合庫金
6005,群益證
6116,彩晶
6117,迎廣
6120,達運
6128,上福
6139,亞翔
6153,嘉聯益
6165,浪凡
6176,瑞儀
6177,達麗
6189,豐藝
6191,精成科
6196,帆宣
6197,佳必琪
6213,聯茂
6215,和椿
6235,華孚
6239,力成
6257,矽格
6269,台郡
6271,同欣電
6278,台表科
6282,康舒
6283,淳安
6285,啟碁
6288,聯嘉
6414,樺漢
6415,矽力*-KY
6438,迅得
6442,光聖
6443,元晶
6446,藥華藥
6451,訊芯-KY
6472,保瑞
6505,台塑化
6515,穎崴
6526,達發
6531,愛普*
6533,晶心科
6605,帝寶
6668,中揚光
6669,緯穎
6695,芯鼎
6719,力智
6753,龍德造船
6770,力積電
6789,采鈺
6805,富世達
6806,森崴能源
6830,汎銓
6901,鑽石投資
8011,台通
8028,昇陽半導體
8033,雷虎
8046,南電
8070,長華*
8110,華東
8112,至上
8150,南茂
8163,達方
8210,勤誠
8222,寶一
8473,山林水
8926,台汽電
8996,高力
9105,泰金寶-DR
912000,晨訊科-DR
9904,寶成
9907,統一實
9910,豐泰
9911,櫻花
9921,巨大
9933,中鼎
9934,成霖
9935,慶豐富
9938,百和
9945,潤泰新
9955,佳龍
9958,世紀鋼
